BuildingType,PrimaryPropertyType,CouncilDistrictCode,Neighborhood,Latitude,Longitude,NumberofBuildings,NumberofFloors,PropertyGFATotal,PropertyGFAParking,PropertyGFABuilding(s),SiteEnergyUse(kBtu),TotalGHGEmissions,number_of_activities,ratio_parking,ratio_building,ratio_dominant_use,building_age,supericie_by_building,superficie_by_activity
NonResidential,Hotel,4,NORTHEAST,47.66583,-122.29965,1.0,4,11.312900116782279,0,81871,15.71291577716698,5.3706380281276624,1,0.0,1.0,1.0,22,20467.75,81871.0
NonResidential,Self-Storage Facility,4,NORTHEAST,47.66172,-122.29598,1.0,2,11.611466782658045,0,110356,12.670953213340272,1.3686394258811698,1,0.0,1.0,0.2376400014498532,61,55178.0,110356.0
Campus,Mixed Use Property,2,GREATER DUWAMISH,47.53493,-122.31788,1.0,3,13.11197965264959,0,494835,19.921163492158335,9.733350265139087,5,0.0,1.0,1.5298574272232157,24,164945.0,98967.0
NonResidential,Warehouse,2,GREATER DUWAMISH,47.51138,-122.28875,3.0,2,13.478771285692215,0,714095,17.61618090845081,5.74249023575925,3,0.0,1.0,0.8626303222960531,55,357047.5,238031.66666666666
SPS-District K-12,K-12 School,7,MAGNOLIA / QUEEN ANNE,47.65671,-122.39047,1.0,2,10.91483388635787,0,54986,14.316455073981123,3.4490347110763153,1,0.0,1.0,1.0,26,27493.0,54986.0
SPS-District K-12,K-12 School,4,NORTHEAST,47.68252,-122.29498,1.0,2,12.075764623688253,0,175565,15.671672210911376,5.583684261042379,1,0.0,1.0,1.041557257995614,66,87782.5,175565.0
NonResidential,Small- and Mid-Sized Office,6,BALLARD,47.66587,-122.38476,1.0,2,11.460578984598019,0,94900,15.637873833388806,4.871832891215797,2,0.0,1.0,0.5857323498419389,55,47450.0,47450.0
NonResidential,Small- and Mid-Sized Office,2,GREATER DUWAMISH,47.58034,-122.31132,1.0,2,10.869596491391144,0,52554,14.897766897710223,4.429148741742616,2,0.0,1.0,0.9709822278037827,116,26277.0,26277.0
NonResidential,K-12 School,6,NORTHWEST,47.68891,-122.33553,1.0,3,12.072626963518106,0,175015,15.760669067466482,5.512823724466583,1,0.0,1.0,1.0,62,58338.333333333336,175015.0
NonResidential,Self-Storage Facility,7,DOWNTOWN,47.61351,-122.35129,1.0,3,11.164587103533947,0,70586,14.584983855916699,3.816172679771312,3,0.0,1.0,0.5445697447085824,105,23528.666666666668,23528.666666666668
NonResidential,Hotel,7,DOWNTOWN,47.60946,-122.33337,1.0,24,12.713522578056248,205970,126240,16.59824724004218,5.688093375191561,1,0.6199993979711628,0.3800006020288372,1.049426567532585,47,5260.0,332210.0
NonResidential,Large Office,7,DOWNTOWN,47.6113,-122.33659,1.0,5,12.032403548015358,0,168115,16.070601551534008,4.196901150547193,3,0.0,1.0,0.6148291348184278,43,33623.0,56038.333333333336
NonResidential,Other,7,DOWNTOWN,47.61076,-122.33765,1.0,2,10.958287268247584,0,57428,14.036541479246345,3.5043554737647815,4,0.0,1.0,0.9010761301107474,96,28714.0,14357.0
NonResidential,Small- and Mid-Sized Office,7,DOWNTOWN,47.61048,-122.33794,1.0,8,10.992049505350737,0,59400,15.439240648903095,3.5655812377694427,2,0.0,1.0,0.5883333333333334,106,7425.0,29700.0
NonResidential,Mixed Use Property,7,DOWNTOWN,47.60886,-122.33744,1.0,2,10.869501346628315,0,52549,16.52530563588314,6.370431663909918,3,0.0,1.0,0.44720165940360423,90,26274.5,17516.333333333332
NonResidential,Hotel,7,DOWNTOWN,47.61233,-122.33432,1.0,20,11.499171308737566,10043,88591,15.392703649035104,4.080752608702634,3,0.10182087312691364,0.8981791268730863,0.8474866678832856,86,4429.55,32878.0
NonResidential,Hotel,7,DOWNTOWN,47.61087,-122.33339,1.0,34,13.809705742575902,146694,847518,18.203385259313578,7.8044879936406275,3,0.14754800786954894,0.8524519921304511,1.0,34,24927.0,331404.0
